Label,Organ,Age,Ethnicity,Gender,COD_Anoxia,COD_CerebroVascular_Stroke,COD_HeadTrauma,COD_CNSTumor,COD_Other,ABO_O,ABO_A,ABO_B,ABO_AB,ABO_Unknown,DonorType_DeceasedDonor,DonorType_LivingDonor,Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,Region11
Pancreas_35_49years_PacificIslander_Male,Pancreas,35-49years,PacificIslander,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_35_49years_PacificIslander_Female,Pancreas,35-49years,PacificIslander,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_35_49years_Multiracial_Male,Pancreas,35-49years,Multiracial,Male,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Pancreas_35_49years_Multiracial_Female,Pancreas,35-49years,Multiracial,Female,0,3,0,0,0,3,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0
Pancreas_50_64years_White_Male,Pancreas,50-64years,White,Male,2,7,3,0,0,6,2,4,0,0,12,0,2,1,0,0,0,0,7,1,0,1,0
Pancreas_50_64years_White_Female,Pancreas,50-64years,White,Female,2,9,4,0,0,12,1,2,0,0,15,0,1,1,1,2,1,0,6,0,0,3,0
Pancreas_50_64years_Black_Male,Pancreas,50-64years,Black,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_50_64years_Black_Female,Pancreas,50-64years,Black,Female,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0
Pancreas_50_64years_Hispanic_Male,Pancreas,50-64years,Hispanic,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_50_64years_Hispanic_Female,Pancreas,50-64years,Hispanic,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_50_64years_Asian_Male,Pancreas,50-64years,Asian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_50_64years_Asian_Female,Pancreas,50-64years,Asian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_50_64years_American_Indian_Male,Pancreas,50-64years,American_Indian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_50_64years_American_Indian_Female,Pancreas,50-64years,American_Indian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_50_64years_PacificIslander_Male,Pancreas,50-64years,PacificIslander,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_50_64years_PacificIslander_Female,Pancreas,50-64years,PacificIslander,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_50_64years_Multiracial_Male,Pancreas,50-64years,Multiracial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_50_64years_Multiracial_Female,Pancreas,50-64years,Multiracial,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_White_Male,Pancreas,over65,White,Male,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Pancreas_over65_White_Female,Pancreas,over65,White,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_Black_Male,Pancreas,over65,Black,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_Black_Female,Pancreas,over65,Black,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_Hispanic_Male,Pancreas,over65,Hispanic,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_Hispanic_Female,Pancreas,over65,Hispanic,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_Asian_Male,Pancreas,over65,Asian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_Asian_Female,Pancreas,over65,Asian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_American_Indian_Female,Pancreas,over65,American_Indian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_PacificIslander_Female,Pancreas,over65,PacificIslander,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_Multiracial_Male,Pancreas,over65,Multiracial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas_over65_Multiracial_Female,Pancreas,over65,Multiracial,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver_under1_White_Male,Liver,under1,White,Male,19,0,10,0,1,17,11,2,0,0,30,0,2,3,2,3,8,1,2,1,0,4,4
Liver_under1_White_Female,Liver,under1,White,Female,7,2,6,0,0,9,3,2,1,0,15,0,0,3,0,0,2,0,3,2,0,1,4
Liver_under1_Black_Male,Liver,under1,Black,Male,3,0,6,0,0,7,2,0,0,0,9,0,0,1,2,1,0,0,2,0,0,1,2
Liver_under1_Black_Female,Liver,under1,Black,Female,3,0,2,0,0,4,0,1,0,0,5,0,0,0,0,1,1,0,0,1,0,2,0
Liver_under1_Hispanic_Male,Liver,under1,Hispanic,Male,5,0,4,0,1,4,5,0,1,0,10,0,0,0,0,4,4,0,0,1,0,0,1
Liver_under1_Hispanic_Female,Liver,under1,Hispanic,Female,1,0,2,0,0,2,1,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0
Liver_under1_Asian_Male,Liver,under1,Asian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver_under1_Asian_Female,Liver,under1,Asian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Liver_under1_PacificIslander_Male,Liver,under1,PacificIslander,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liver_under1_Multiracial_Male,Liver,under1,Multiracial,Male,0,1,1,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
Liver_under1_Multiracial_Female,Liver,under1,Multiracial,Female,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Liver_1_5years_White_Male,Liver,1-5years,White,Male,27,2,15,0,0,22,20,2,0,0,44,0,1,5,7,7,3,7,3,2,3,4,2
Liver_1_5years_White_Female,Liver,1-5years,White,Female,20,0,14,1,2,13,20,4,0,0,37,0,2,3,8,1,4,2,1,6,2,4,4
Liver_1_5years_Black_Male,Liver,1-5years,Black,Male,9,1,3,0,1,7,5,1,1,0,14,0,1,0,6,1,0,0,1,0,1,0,4
Liver_1_5years_Black_Female,Liver,1-5years,Black,Female,7,0,4,0,1,4,5,3,0,0,12,0,0,0,4,1,1,0,1,2,1,0,2
Liver_1_5years_Hispanic_Male,Liver,1-5years,Hispanic,Male,13,1,5,0,0,8,10,1,0,0,19,0,0,0,5,3,7,0,1,1,1,0,1
Liver_1_5years_Hispanic_Female,Liver,1-5years,Hispanic,Female,7,1,4,0,0,8,3,1,0,0,12,0,1,2,3,1,4,0,0,0,1,0,0
Liver_1_5years_Asian_Male,Liver,1-5years,Asian,Male,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0
Liver_1_5years_Asian_Female,Liver,1-5years,Asian,Female,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
Liver_1_5years_American_Indian_Female,Liver,1-5years,American_Indian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Liver_1_5years_Multiracial_Male,Liver,1-5years,Multiracial,Male,1,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0
Liver_6_10years_White_Male,Liver,6-10years,White,Male,14,0,14,0,2,21,6,2,1,0,30,0,0,5,7,2,3,3,3,3,1,2,1
Liver_6_10years_White_Female,Liver,6-10years,White,Female,9,2,6,0,0,8,6,2,1,0,17,0,1,4,2,3,1,0,0,0,2,3,1
Liver_6_10years_Black_Male,Liver,6-10years,Black,Male,6,1,7,0,1,7,6,1,1,0,15,0,0,0,9,3,1,0,1,0,0,1,0
Liver_6_10years_Black_Female,Liver,6-10years,Black,Female,8,0,2,0,1,3,4,4,0,0,11,0,0,0,2,2,1,0,1,0,0,2,3
Liver_6_10years_Hispanic_Male,Liver,6-10years,Hispanic,Male,6,2,4,1,0,3,6,4,0,0,13,0,1,0,5,1,2,0,0,1,0,0,3
Liver_6_10years_Hispanic_Female,Liver,6-10years,Hispanic,Female,2,3,4,0,0,5,3,1,0,0,9,0,0,3,1,2,3,0,0,0,0,0,0
Liver_6_10years_Asian_Male,Liver,6-10years,Asian,Male,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
Liver_6_10years_Asian_Female,Liver,6-10years,Asian,Female,1,0,1,0,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0
Liver_6_10years_American_Indian_Male,Liver,6-10years,American_Indian,Male,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Liver_6_10years_American_Indian_Female,Liver,6-10years,American_Indian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Liver_6_10years_PacificIslander_Male,Liver,6-10years,PacificIslander,Male,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Liver_6_10years_Multiracial_Male,Liver,6-10years,Multiracial,Male,2,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
Liver_6_10years_Multiracial_Female,Liver,6-10years,Multiracial,Female,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Liver_11_17years_White_Male,Liver,11-17years,White,Male,56,6,89,1,4,71,62,17,6,0,156,0,3,18,33,17,18,9,12,18,4,13,11
Liver_11_17years_White_Female,Liver,11-17years,White,Female,25,7,45,2,1,43,29,6,2,0,80,0,3,6,14,10,8,5,7,10,0,10,7
Liver_11_17years_Black_Male,Liver,11-17years,Black,Male,17,2,27,0,0,20,13,12,1,0,46,0,0,5,14,7,4,0,3,2,0,2,9
Liver_11_17years_Black_Female,Liver,11-17years,Black,Female,13,2,4,0,0,15,3,1,0,0,19,0,0,3,6,2,2,0,1,0,1,0,4
Liver_11_17years_Hispanic_Male,Liver,11-17years,Hispanic,Male,8,3,23,0,1,24,8,3,0,0,35,0,0,2,7,7,14,0,2,0,0,0,3
Liver_11_17years_Hispanic_Female,Liver,11-17years,Hispanic,Female,7,3,11,0,0,8,9,3,1,0,21,0,0,0,0,8,7,1,0,3,1,1,0
Liver_11_17years_Asian_Male,Liver,11-17years,Asian,Male,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
Liver_11_17years_Asian_Female,Liver,11-17years,Asian,Female,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Liver_11_17years_American_Indian_Male,Liver,11-17years,American_Indian,Male,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
Liver_11_17years_American_Indian_Female,Liver,11-17years,American_Indian,Female,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Liver_11_17years_Multiracial_Male,Liver,11-17years,Multiracial,Male,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Liver_18_34years_White_Male,Liver,18-34years,White,Male,268,49,521,3,19,429,376,82,23,0,860,50,33,106,125,76,111,46,84,98,17,94,120
Liver_18_34years_White_Female,Liver,18-34years,White,Female,222,53,180,4,8,240,216,51,10,0,467,50,14,67,62,50,67,17,47,58,20,56,59
Liver_18_34years_Black_Male,Liver,18-34years,Black,Male,41,31,185,2,2,131,78,48,8,0,261,4,1,41,55,21,27,5,19,11,8,31,46
Liver_18_34years_Black_Female,Liver,18-34years,Black,Female,32,23,29,1,1,33,27,25,4,0,86,3,1,11,25,6,5,0,3,3,6,13,16
Liver_18_34years_Hispanic_Male,Liver,18-34years,Hispanic,Male,54,28,140,0,6,137,67,31,4,0,228,11,12,19,23,39,85,4,16,5,20,6,10
Liver_18_34years_Hispanic_Female,Liver,18-34years,Hispanic,Female,25,21,27,0,1,61,19,2,1,0,74,9,6,5,13,20,23,0,3,5,6,1,1
Liver_18_34years_Asian_Male,Liver,18-34years,Asian,Male,6,0,18,0,0,12,8,5,1,0,24,2,0,2,1,2,13,2,2,0,1,3,0
Liver_18_34years_Asian_Female,Liver,18-34years,Asian,Female,7,1,2,0,0,5,4,3,0,0,10,2,0,3,1,0,2,1,1,0,2,0,2
Liver_18_34years_American_Indian_Male,Liver,18-34years,American_Indian,Male,3,0,5,0,0,6,2,0,0,0,8,0,0,0,0,0,2,2,3,0,0,1,0
Liver_18_34years_American_Indian_Female,Liver,18-34years,American_Indian,Female,0,0,3,0,0,1,2,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1
Liver_18_34years_PacificIslander_Male,Liver,18-34years,PacificIslander,Male,3,0,2,0,0,3,2,1,0,0,5,1,0,0,0,0,3,1,0,2,0,0,0
Liver_18_34years_PacificIslander_Female,Liver,18-34years,PacificIslander,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Liver_18_34years_Multiracial_Male,Liver,18-34years,Multiracial,Male,0,0,17,0,0,6,9,3,0,0,17,1,0,1,14,0,0,0,1,0,2,0,0
Liver_18_34years_Multiracial_Female,Liver,18-34years,Multiracial,Female,3,4,0,0,0,2,3,1,1,0,7,0,0,0,6,0,0,1,0,0,0,0,0
Liver_35_49years_White_Male,Liver,35-49years,White,Male,202,173,242,3,17,308,272,71,18,0,637,32,26,91,83,44,76,26,75,75,25,60,88
Liver_35_49years_White_Female,Liver,35-49years,White,Female,186,188,68,5,14,252,194,43,13,0,461,41,18,60,81,37,67,20,34,45,22,53,65
Liver_35_49years_Black_Male,Liver,35-49years,Black,Male,32,87,44,0,0,76,50,31,10,0,163,4,1,24,46,12,13,0,10,7,7,15,32
Liver_35_49years_Black_Female,Liver,35-49years,Black,Female,46,88,8,0,1,65,46,24,8,0,143,0,3,17,37,11,10,0,14,6,6,14,25
Liver_35_49years_Hispanic_Male,Liver,35-49years,Hispanic,Male,28,54,59,1,3,85,48,11,7,0,145,6,7,19,16,22,49,5,7,10,8,5,3
Liver_35_49years_Hispanic_Female,Liver,35-49years,Hispanic,Female,24,55,9,2,3,60,24,8,7,0,93,6,3,7,18,17,31,1,5,2,11,1,3
Liver_35_49years_Asian_Male,Liver,35-49years,Asian,Male,5,10,5,0,1,9,4,7,3,0,21,2,1,3,1,2,9,1,3,2,1,0,0
Liver_35_49years_Asian_Female,Liver,35-49years,Asian,Female,2,21,1,0,2,11,6,7,3,0,26,1,0,1,2,1,12,5,0,1,3,1,1
Liver_35_49years_American_Indian_Male,Liver,35-49years,American_Indian,Male,1,1,1,0,1,2,2,0,0,0,4,0,0,0,0,1,1,1,0,1,0,0,0
Liver_35_49years_American_Indian_Female,Liver,35-49years,American_Indian,Female,1,1,1,0,0,1,2,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0
Liver_35_49years_PacificIslander_Male,Liver,35-49years,PacificIslander,Male,0,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
Liver_35_49years_PacificIslander_Female,Liver,35-49years,PacificIslander,Female,0,2,1,0,0,2,1,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0
Liver_35_49years_Multiracial_Male,Liver,35-49years,Multiracial,Male,0,4,9,0,0,7,5,0,2,0,13,1,0,0,13,0,0,0,0,0,0,0,1
Liver_35_49years_Multiracial_Female,Liver,35-49years,Multiracial,Female,1,7,0,0,0,7,1,0,0,0,8,0,1,2,5,0,0,0,0,0,0,0,0
Liver_50_64years_White_Male,Liver,50-64years,White,Male,150,286,143,1,8,277,235,66,17,0,588,7,28,94,85,39,83,15,62,55,22,49,63
Liver_50_64years_White_Female,Liver,50-64years,White,Female,158,308,64,1,12,246,241,57,14,0,543,15,24,81,93,36,64,17,37,44,23,68,71
Liver_50_64years_Black_Male,Liver,50-64years,Black,Male,22,136,22,0,2,89,56,29,10,0,182,2,7,36,52,11,14,0,16,7,9,11,21
Liver_50_64years_Black_Female,Liver,50-64years,Black,Female,53,118,8,2,3,95,46,35,8,0,184,0,0,40,44,13,12,0,16,10,7,9,33
Liver_50_64years_Hispanic_Male,Liver,50-64years,Hispanic,Male,16,73,24,0,1,72,30,10,2,0,114,0,2,6,18,16,43,1,5,5,9,3,6
Liver_50_64years_Hispanic_Female,Liver,50-64years,Hispanic,Female,12,53,5,0,0,48,19,4,0,0,70,1,0,3,20,14,20,1,0,3,8,2,0
Liver_50_64years_Asian_Male,Liver,50-64years,Asian,Male,4,15,6,0,0,12,5,8,0,0,25,0,0,6,2,0,11,3,1,0,1,1,0
Liver_50_64years_Asian_Female,Liver,50-64years,Asian,Female,3,16,1,0,0,9,4,6,1,0,20,0,0,1,1,1,9,3,1,1,1,1,1
Liver_50_64years_American_Indian_Male,Liver,50-64years,American_Indian,Male,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
Liver_50_64years_American_Indian_Female,Liver,50-64years,American_Indian,Female,0,1,0,0,1,2,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0
Liver_50_64years_PacificIslander_Male,Liver,50-64years,PacificIslander,Male,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0
Liver_50_64years_PacificIslander_Female,Liver,50-64years,PacificIslander,Female,0,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
Liver_50_64years_Multiracial_Male,Liver,50-64years,Multiracial,Male,1,5,2,0,0,7,0,1,0,0,8,0,0,0,5,0,1,1,0,0,1,0,0
Liver_50_64years_Multiracial_Female,Liver,50-64years,Multiracial,Female,0,5,0,0,0,4,1,0,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0
Liver_over65_White_Male,Liver,over65,White,Male,28,113,38,0,0,80,81,17,2,0,179,1,11,41,22,8,22,1,23,18,9,6,19
Liver_over65_White_Female,Liver,over65,White,Female,47,160,38,0,3,136,88,17,7,0,248,0,11,59,32,8,30,2,22,31,13,12,28
Liver_over65_Black_Male,Liver,over65,Black,Male,6,22,1,0,0,18,7,4,0,0,29,0,0,3,9,1,0,0,5,0,6,1,4
Liver_over65_Black_Female,Liver,over65,Black,Female,12,24,2,0,0,22,9,6,1,0,38,0,0,11,4,2,2,0,5,4,7,2,1
Liver_over65_Hispanic_Male,Liver,over65,Hispanic,Male,5,15,5,0,0,14,11,0,0,0,25,0,0,2,10,1,7,1,1,0,3,0,0
Liver_over65_Hispanic_Female,Liver,over65,Hispanic,Female,4,13,2,0,0,9,9,1,0,0,19,0,0,0,3,2,6,0,1,1,6,0,0
Liver_over65_Asian_Male,Liver,over65,Asian,Male,1,3,3,0,0,1,2,3,1,0,7,0,0,2,1,1,3,0,0,0,0,0,0
Liver_over65_Asian_Female,Liver,over65,Asian,Female,1,8,1,0,0,3,2,5,0,0,10,0,0,2,0,1,0,1,1,0,4,1,0
Liver_over65_American_Indian_Female,Liver,over65,American_Indian,Female,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Liver_over65_PacificIslander_Female,Liver,over65,PacificIslander,Female,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Liver_over65_Multiracial_Male,Liver,over65,Multiracial,Male,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Liver_over65_Multiracial_Female,Liver,over65,Multiracial,Female,0,4,1,0,0,2,1,2,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0
Intestine_under1_White_Male,Intestine,under1,White,Male,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1
Intestine_under1_White_Female,Intestine,under1,White,Female,2,0,3,0,0,5,0,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,3
Intestine_under1_Black_Male,Intestine,under1,Black,Male,0,0,5,0,0,4,1,0,0,0,5,0,0,1,1,1,0,0,1,0,0,0,1
Intestine_under1_Black_Female,Intestine,under1,Black,Female,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0
Intestine_under1_Hispanic_Male,Intestine,under1,Hispanic,Male,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Intestine_under1_Hispanic_Female,Intestine,under1,Hispanic,Female,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Intestine_under1_Asian_Male,Intestine,under1,Asian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_under1_Asian_Female,Intestine,under1,Asian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_under1_PacificIslander_Male,Intestine,under1,PacificIslander,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_under1_Multiracial_Male,Intestine,under1,Multiracial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_under1_Multiracial_Female,Intestine,under1,Multiracial,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_1_5years_White_Male,Intestine,1-5years,White,Male,3,1,2,0,0,2,3,1,0,0,6,0,0,0,1,3,0,0,0,0,0,2,0
Intestine_1_5years_White_Female,Intestine,1-5years,White,Female,2,0,3,0,0,2,1,2,0,0,5,0,0,0,3,0,0,0,0,2,0,0,0
Intestine_1_5years_Black_Male,Intestine,1-5years,Black,Male,3,0,1,0,0,1,1,1,1,0,4,0,0,1,1,0,0,0,0,0,0,0,2
Intestine_1_5years_Black_Female,Intestine,1-5years,Black,Female,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0
Intestine_1_5years_Hispanic_Male,Intestine,1-5years,Hispanic,Male,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
Intestine_1_5years_Hispanic_Female,Intestine,1-5years,Hispanic,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_1_5years_Asian_Male,Intestine,1-5years,Asian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_1_5years_Asian_Female,Intestine,1-5years,Asian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_1_5years_American_Indian_Female,Intestine,1-5years,American_Indian,Female,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Intestine_1_5years_Multiracial_Male,Intestine,1-5years,Multiracial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_6_10years_White_Male,Intestine,6-10years,White,Male,1,0,3,0,0,4,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,1,1
Intestine_6_10years_White_Female,Intestine,6-10years,White,Female,2,1,1,0,0,1,1,2,0,0,4,0,0,0,1,0,0,0,0,0,0,3,0
Intestine_6_10years_Black_Male,Intestine,6-10years,Black,Male,2,0,1,0,0,2,0,1,0,0,3,0,0,0,1,0,0,0,1,0,0,1,0
Intestine_6_10years_Black_Female,Intestine,6-10years,Black,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_6_10years_Hispanic_Male,Intestine,6-10years,Hispanic,Male,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Intestine_6_10years_Hispanic_Female,Intestine,6-10years,Hispanic,Female,0,0,2,0,0,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
Intestine_6_10years_Asian_Male,Intestine,6-10years,Asian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_6_10years_Asian_Female,Intestine,6-10years,Asian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_6_10years_American_Indian_Male,Intestine,6-10years,American_Indian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_6_10years_American_Indian_Female,Intestine,6-10years,American_Indian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_6_10years_PacificIslander_Male,Intestine,6-10years,PacificIslander,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_6_10years_Multiracial_Male,Intestine,6-10years,Multiracial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_6_10years_Multiracial_Female,Intestine,6-10years,Multiracial,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_11_17years_White_Male,Intestine,11-17years,White,Male,3,1,1,0,0,3,2,0,0,0,5,0,0,0,1,0,0,0,1,0,0,3,0
Intestine_11_17years_White_Female,Intestine,11-17years,White,Female,3,1,1,0,0,4,0,1,0,0,5,0,0,0,0,0,1,0,1,0,0,2,1
Intestine_11_17years_Black_Male,Intestine,11-17years,Black,Male,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Intestine_11_17years_Black_Female,Intestine,11-17years,Black,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_11_17years_Hispanic_Male,Intestine,11-17years,Hispanic,Male,0,1,1,0,1,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0
Intestine_11_17years_Hispanic_Female,Intestine,11-17years,Hispanic,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_11_17years_Asian_Male,Intestine,11-17years,Asian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_11_17years_Asian_Female,Intestine,11-17years,Asian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_11_17years_American_Indian_Male,Intestine,11-17years,American_Indian,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_11_17years_American_Indian_Female,Intestine,11-17years,American_Indian,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Intestine_11_17years_Multiracial_Male,Intestine,11-17years,Multiracial,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
